user_id,gender,occupation,zip_code,age
302,0,18,130,19
193,0,0,28,38
290,0,18,334,19
298,0,2,497,29
307,0,15,716,60
94,0,0,100,31
37,1,13,408,28
101,0,14,261,38
300,0,18,446,24
289,0,4,683,40
275,0,18,715,21
6,0,0,651,57
245,0,18,238,19
58,0,3,81,49
86,0,0,627,47
59,0,7,60,50
91,0,5,591,32
253,0,3,321,44
292,0,20,483,24
221,0,14,227,29
266,0,4,601,23
10,1,13,262,39
109,0,18,560,19
93,0,18,524,26
127,1,11,172,24
261,1,18,569,19
173,1,0,390,30
42,1,10,186,29
268,1,10,324,31
84,0,3,169,51
212,0,6,431,33
4,1,13,133,33
129,0,12,463,20
55,0,10,352,25
124,0,9,203,30
82,0,13,336,40
150,1,0,361,38
69,0,4,460,27
306,0,18,448,25
192,0,18,375,29
274,0,4,660,38
183,0,10,543,37
108,0,13,443,29
64,1,3,363,51
229,1,18,126,28
279,1,10,208,30
151,1,3,518,33
282,0,14,427,28
310,0,19,528,32
207,0,4,9,43
312,0,11,459,41
313,1,18,77,20
317,0,15,64,65
325,0,0,137,41
326,0,18,102,22
329,1,3,290,35
335,0,16,318,23
344,1,10,694,28
362,0,18,624,20
370,0,4,773,36
372,1,13,421,24
373,0,6,576,36
377,0,18,35,35
378,0,14,761,44
386,0,5,300,33
388,1,20,599,44
392,0,18,598,19
393,0,0,734,25
397,0,13,458,40
398,0,13,668,25
404,1,7,93,22
405,0,3,680,52
406,0,4,41,29
428,0,18,242,27
434,0,4,457,24
436,1,13,172,27
449,1,3,112,35
452,0,18,54,18
454,0,0,600,48
456,1,16,253,33
471,0,18,625,24
470,0,18,557,10
475,0,18,471,28
477,0,13,93,29
483,0,18,196,27
486,0,4,666,22
480,0,15,302,73
495,1,18,439,21
494,0,4,38,29
503,1,20,665,40
505,0,14,43,46
513,0,14,179,27
523,0,3,29,56
520,0,18,27,19
527,0,18,414,18
540,1,18,608,19
541,0,18,474,21
544,0,19,78,27
550,0,14,439,25
558,0,6,95,69
560,0,4,456,23
561,1,0,187,54
576,1,18,562,36
578,0,3,361,32
587,1,18,678,18
585,0,18,580,20
590,1,10,661,57
592,1,3,518,31
605,0,14,496,28
619,1,20,596,18
620,0,18,470,17
624,0,14,180,27
641,1,18,725,18
642,0,17,423,39
647,0,4,652,43
649,0,4,602,42
652,0,6,415,31
659,0,18,556,26
658,0,3,406,31
664,0,0,437,25
681,0,14,425,23
683,0,18,439,28
689,0,16,503,35
693,0,14,56,60
704,1,18,409,21
710,1,18,132,22
711,1,18,410,22
715,1,0,340,36
726,0,18,575,25
737,0,19,722,35
746,0,13,685,19
748,0,13,595,33
730,1,3,521,41
740,0,20,497,25
772,0,18,439,20
765,0,13,101,42
773,0,18,581,30
789,0,19,594,27
795,1,20,286,32
797,1,20,506,40
803,0,3,490,39
804,1,13,172,27
806,1,7,684,41
814,0,13,239,32
834,1,6,108,44
842,0,10,338,35
845,0,9,355,27
847,0,4,27,46
859,1,15,365,70
863,0,14,494,27
879,0,18,599,13
877,1,3,754,50
880,0,11,322,39
881,0,4,314,35
885,0,18,490,20
884,1,13,721,30
891,0,13,345,36
886,1,18,226,14
895,0,20,653,28
896,0,13,283,30
900,0,6,781,38
906,1,13,592,25
915,0,4,785,27
926,0,14,444,23
933,0,4,207,61
932,0,18,362,28
942,0,18,561,22
166,0,13,782,37
188,0,1,712,32
197,1,18,439,21
57,0,14,389,27
263,1,20,634,36
267,0,4,164,24
255,1,12,308,35
294,0,3,382,31
232,0,4,771,38
22,1,1,364,30
63,0,3,325,32
256,0,18,549,17
88,1,0,514,43
341,1,13,753,25
408,0,0,765,48
435,1,0,149,30
448,0,10,412,23
473,0,6,686,51
497,0,20,435,26
502,1,20,230,50
474,0,14,541,30
534,1,3,588,45
537,0,17,190,31
542,0,17,718,33
564,0,18,442,40
575,0,6,767,48
628,1,13,339,46
653,1,18,574,27
665,0,0,490,44
703,1,10,647,51
750,1,13,632,24
785,1,4,10,36
794,0,14,83,30
818,0,0,310,59
827,0,10,620,28
832,0,20,631,34
858,1,13,61,18
869,0,18,508,22
876,0,13,558,30
883,0,4,429,44
888,0,19,573,24
910,1,20,397,37
913,1,13,79,44
917,0,17,519,40
14,1,3,745,49
78,1,0,42,39
309,0,3,655,37
246,0,4,182,28
131,0,13,704,24
343,1,10,692,30
384,0,20,88,36
419,0,3,25,53
443,1,9,396,51
467,0,4,34,28
498,0,14,535,42
755,1,12,637,30
781,1,1,280,21
843,0,4,728,22
882,0,10,379,49
935,0,13,278,24
252,1,10,208,26
61,1,0,741,27
223,1,3,330,31
118,0,14,513,32
96,0,1,753,43
9,0,9,642,53
177,0,13,373,26
24,0,4,417,39
71,1,0,527,48
41,0,0,151,30
242,0,3,467,33
215,0,4,31,22
43,0,19,352,26
18,0,10,23,40
231,0,17,776,45
15,0,5,97,21
179,1,0,468,22
235,1,20,399,44
113,0,14,536,27
115,0,7,744,40
234,0,3,213,37
117,0,0,636,21
155,0,3,80,25
23,1,1,698,21
50,0,3,142,28
97,1,6,639,49
227,1,18,201,21
324,0,19,24,48
327,0,0,65,51
321,0,18,383,20
331,0,18,315,20
328,0,3,9,48
333,0,10,252,32
338,0,9,304,35
342,0,4,260,43
346,0,18,636,18
360,0,18,332,22
400,1,7,606,46
410,0,3,343,34
425,0,3,7,55
453,0,13,747,57
455,0,19,268,24
461,1,18,37,19
478,0,3,436,30
487,0,19,191,48
507,0,11,163,27
526,0,10,115,33
552,0,3,492,58
582,0,4,249,44
607,0,13,88,22
617,1,18,338,15
626,0,4,76,24
631,0,18,448,18
662,0,13,162,26
663,0,4,691,30
692,1,7,615,43
714,0,19,649,21
718,1,13,789,37
747,0,0,710,28
787,0,0,51,51
805,0,11,105,27
822,0,1,381,27
839,0,1,434,39
861,0,6,122,25
867,0,14,426,21
866,0,17,669,24
889,0,18,745,32
898,0,13,421,32
902,0,3,185,28
911,0,13,62,51
912,0,18,546,27
921,1,0,193,29
939,0,0,31,32
158,1,18,432,23
345,0,13,544,34
336,0,17,99,37
441,0,18,620,22
553,0,17,492,32
621,0,14,129,25
931,0,3,59,58
185,1,6,0,39
277,1,10,255,37
283,0,6,671,40
241,0,3,267,33
154,1,13,105,32
111,0,16,475,30
132,0,4,571,53
196,0,19,537,55
170,1,3,577,48
47,0,0,118,45
28,0,14,689,41
46,0,11,72,53
219,0,10,565,30
30,0,1,88,24
315,1,13,551,43
318,0,14,202,38
38,0,5,2,41
337,1,10,454,39
379,0,4,422,32
399,1,0,568,33
412,0,3,567,55
418,0,9,328,37
445,0,3,467,57
465,0,18,643,22
468,0,3,572,60
506,1,20,236,18
566,0,5,88,24
610,0,10,550,46
614,0,3,232,38
682,0,10,220,42
749,0,0,274,28
751,0,15,194,60
786,1,18,770,18
790,0,3,175,31
798,1,0,166,49
841,0,20,677,40
840,0,2,356,45
873,0,17,296,36
901,1,1,738,45
930,0,3,284,60
98,0,18,499,20
137,0,2,398,46
249,0,6,717,29
236,0,0,502,49
40,0,4,591,33
81,0,14,207,50
48,1,18,545,23
147,0,4,735,33
271,0,17,402,33
213,1,10,106,26
296,1,3,760,29
157,0,3,231,50
76,0,19,246,30
214,0,14,495,35
176,0,14,159,20
95,1,1,539,25
311,0,13,19,48
314,0,3,155,31
322,0,18,161,21
319,0,18,221,19
369,0,20,82,52
382,0,0,538,42
390,0,18,611,23
420,1,14,415,38
457,0,19,794,47
492,0,4,462,22
493,1,0,371,38
600,1,1,775,19
604,0,4,285,33
606,1,7,28,49
637,0,4,15,45
660,0,14,762,28
666,0,10,18,35
691,0,4,154,34
743,0,11,354,35
762,0,17,20,27
776,0,14,11,63
775,0,10,385,30
777,0,18,17,34
835,0,1,92,44
837,0,18,5,23
846,0,18,440,29
850,0,13,250,18
853,1,18,435,29
875,0,13,188,41
918,0,13,125,25
929,1,17,74,28
217,0,0,63,37
186,0,3,143,26
320,1,3,438,49
391,0,20,455,52
375,1,13,89,28
451,0,0,235,35
639,0,18,489,20
697,1,14,67,28
849,0,19,570,34
907,1,10,517,44
156,0,4,523,57
286,0,16,266,21
250,0,2,613,28
80,0,18,197,21
291,1,14,708,35
56,0,12,603,16
222,1,18,358,19
31,1,18,575,28
264,0,6,610,26
83,0,6,433,32
67,0,18,209,19
25,0,4,192,49
51,1,18,415,18
293,0,19,663,34
191,0,3,645,42
100,0,18,47,15
103,0,18,418,27
181,0,14,290,36
44,0,14,378,29
74,0,5,84,24
184,1,10,749,53
273,1,18,439,20
16,0,14,55,30
175,0,17,70,28
174,1,17,200,26
276,1,0,434,35
303,1,18,525,22
237,1,0,335,42
347,1,18,347,24
356,0,6,763,26
387,0,13,294,31
401,0,4,719,30
402,0,13,66,37
431,0,5,380,22
433,1,18,374,16
446,0,0,420,30
458,0,18,241,22
476,1,18,21,23
500,0,18,96,22
524,1,0,165,27
516,0,18,448,24
551,0,13,515,45
539,0,4,648,28
559,0,18,88,32
568,0,3,656,34
554,1,3,217,29
574,0,11,351,33
589,0,3,597,50
598,1,18,787,22
594,0,14,269,25
633,0,4,788,39
629,1,7,435,26
636,0,13,534,30
656,1,12,573,26
668,0,13,172,37
673,1,18,429,13
678,1,18,407,20
688,0,13,346,25
698,0,13,733,44
707,1,8,732,26
677,0,3,487,50
713,0,4,430,26
716,0,19,605,24
717,0,19,505,42
721,1,8,148,50
724,0,18,655,21
733,1,13,497,25
761,0,0,714,32
763,1,3,493,27
768,0,6,68,39
767,0,0,120,29
759,1,13,124,35
778,0,18,780,31
769,0,18,125,28
788,0,13,441,29
791,0,14,116,40
820,0,4,562,37
824,0,4,49,44
838,1,5,644,38
836,1,1,436,36
821,1,10,393,29
864,0,1,106,25
871,1,18,533,19
878,1,0,429,33
890,1,0,40,51
903,1,18,484,17
920,1,18,772,20
937,1,19,413,38
887,0,17,145,41
171,0,11,205,55
161,0,1,139,25
167,0,13,583,48
120,0,10,774,54
53,0,6,512,22
116,0,18,140,20
77,0,0,489,26
140,0,14,295,49
52,0,14,439,26
105,0,15,424,61
226,0,6,482,46
119,1,13,53,47
265,1,0,578,62
66,0,18,470,17
348,0,15,486,68
364,0,9,172,29
381,0,4,12,45
395,0,4,699,57
423,1,11,442,36
440,0,19,411,50
517,1,20,776,49
533,0,18,50,20
547,0,20,724,51
583,0,18,229,25
581,0,18,676,17
579,0,18,152,16
613,0,3,585,54
611,0,3,579,36
635,0,3,359,47
671,1,0,635,54
705,0,18,448,23
725,1,0,593,25
727,0,6,696,58
702,0,3,373,26
799,0,14,429,25
831,0,19,552,24
833,0,13,507,26
851,0,0,690,46
909,0,7,245,28
916,1,18,170,22
165,0,3,420,47
49,0,20,388,21
224,1,0,452,51
240,1,18,168,26
126,0,12,531,33
27,0,20,433,32
258,0,18,367,21
65,0,18,590,23
160,0,9,414,50
228,1,10,208,29
99,0,6,638,36
190,0,0,720,33
133,0,14,587,31
284,0,14,404,25
72,0,18,317,24
220,0,18,178,19
125,1,9,173,28
287,0,11,216,34
106,0,17,472,39
145,0,1,602,45
139,1,18,272,30
148,1,11,147,35
142,0,19,85,42
75,0,18,31,20
135,0,13,748,51
251,0,4,75,42
211,1,3,485,49
146,1,10,26,40
104,0,4,689,24
70,0,17,755,39
45,1,11,353,27
87,1,10,109,49
210,0,16,275,66
257,1,18,559,19
26,1,10,254,40
162,0,0,740,49
323,1,18,30,21
272,1,13,91,50
350,0,3,376,61
355,1,8,674,32
349,0,18,745,32
371,1,18,509,25
358,0,18,489,22
363,0,4,11,63
389,1,20,612,42
396,0,18,230,17
383,0,14,344,52
394,0,13,333,43
352,0,17,237,25
403,1,14,418,29
409,1,1,687,30
421,0,5,698,26
424,0,18,453,19
422,0,13,654,64
426,0,2,618,51
432,0,1,104,27
429,0,17,764,38
437,1,0,326,51
430,0,11,671,24
447,0,5,94,23
464,0,13,46,32
463,0,20,701,60
469,0,14,94,24
481,1,18,313,18
489,1,1,793,29
488,0,13,344,55
482,0,17,327,29
490,1,20,403,43
442,0,16,281,35
514,0,11,372,53
511,0,13,176,29
515,1,10,94,53
509,0,13,756,34
530,1,16,751,30
528,1,0,339,47
545,0,6,211,36
543,1,13,248,44
555,1,3,264,35
557,1,20,501,56
572,0,15,369,68
571,0,3,169,51
586,0,13,125,26
584,0,10,769,69
595,0,1,554,20
569,0,3,128,26
588,0,9,632,21
615,0,17,383,55
622,1,3,466,50
630,1,18,307,18
625,0,17,167,23
597,1,11,323,40
644,0,14,398,27
655,0,3,98,48
645,1,18,386,17
661,0,10,158,55
667,1,20,91,29
675,0,14,277,30
651,0,13,211,35
676,0,13,777,20
684,1,10,436,32
700,1,10,449,51
686,1,7,234,31
709,0,18,658,19
712,1,13,73,42
680,1,11,739,44
695,0,13,711,55
735,1,20,705,48
744,0,20,420,42
722,0,6,697,26
738,0,19,530,35
731,1,13,768,28
753,1,10,492,59
754,1,3,736,44
779,0,14,700,49
783,0,0,646,47
782,0,11,555,30
780,0,18,368,20
801,0,0,291,35
774,0,6,633,46
796,1,13,491,44
808,1,11,265,50
817,0,10,230,28
811,0,19,547,22
826,1,4,586,23
828,0,20,584,48
810,1,3,526,40
807,0,16,630,45
809,1,13,592,55
857,0,3,87,63
852,0,20,316,49
823,0,13,131,31
855,1,11,742,43
819,0,18,301,22
874,1,18,293,24
872,1,0,287,48
892,0,18,730,25
905,0,10,520,45
914,0,5,476,50
923,0,13,111,29
908,1,3,394,50
934,0,2,511,42
925,0,5,8,49
919,1,1,629,30
19,1,8,727,42
244,0,18,419,22
182,0,17,233,33
380,0,1,703,33
535,0,4,259,38
632,0,14,439,35
187,0,18,247,42
351,1,14,415,37
504,1,13,177,27
529,0,4,688,29
562,1,10,276,39
690,0,3,461,34
829,0,14,391,46
114,0,4,146,31
357,0,3,95,40
479,0,15,766,57
556,1,20,105,30
609,0,18,198,22
657,0,14,670,33
669,0,19,193,30
745,0,4,157,25
927,0,18,435,21
339,0,4,582,46
736,0,14,757,30
121,1,20,204,32
411,0,3,135,25
646,0,3,349,40
332,0,13,790,47
670,0,14,657,21
202,1,18,273,25
136,0,3,609,50
247,0,18,298,25
102,0,18,418,26
299,1,14,416,26
54,0,14,4,37
444,0,20,672,21
466,0,4,648,29
512,0,0,223,43
549,1,18,723,16
563,0,15,702,65
601,1,13,292,47
618,0,18,337,17
643,0,15,504,51
648,0,18,309,20
729,1,17,271,31
756,0,18,414,26
758,1,18,516,20
792,0,18,619,22
922,0,18,779,21
938,1,18,282,26
940,0,18,743,20
159,0,14,510,27
262,0,14,432,41
164,1,13,405,20
699,0,18,548,17
281,0,0,174,22
189,0,0,731,30
178,0,5,181,15
2,0,20,270,23
260,0,0,614,28
73,0,17,788,39
334,0,6,289,45
413,0,14,305,24
510,0,18,199,22
518,0,13,428,22
546,0,3,127,50
830,0,13,288,21
608,1,18,416,13
856,1,0,791,35
904,0,13,263,27
218,0,14,327,32
525,0,11,737,30
580,0,13,693,37
163,0,7,582,47
548,0,17,348,42
149,1,1,24,20
107,0,3,500,44
634,0,13,218,22
741,0,18,244,35
894,1,10,273,31
708,0,13,786,21
134,0,18,306,23
123,0,18,477,34
376,0,18,153,22
521,0,4,447,36
602,0,14,357,21
685,0,3,224,32
92,0,6,215,48
79,1,0,387,34
35,1,18,681,19
60,0,4,256,36
414,0,3,622,39
417,1,12,195,55
599,0,14,32,34
784,0,4,219,32
941,1,10,566,48
68,0,4,429,24
361,1,8,616,35
366,0,18,299,17
374,0,5,303,17
508,0,0,90,23
687,1,0,473,37
771,0,20,225,50
800,0,20,667,22
7,0,0,48,36
216,0,13,110,22
36,0,18,415,23
825,0,1,553,28
577,0,0,784,31
760,0,18,746,17
501,0,18,214,22
812,1,18,22,14
254,0,5,69,23
385,0,16,329,36
816,0,18,465,19
848,1,18,222,15
259,1,1,628,40
90,0,11,13,55
301,0,3,563,42
169,1,7,257,53
141,0,13,363,13
280,1,18,52,15
152,0,18,480,25
316,0,0,121,22
728,0,18,450,19
815,0,13,181,34
367,0,18,664,18
365,1,18,384,20
813,0,13,117,30
32,0,18,228,23
924,1,16,370,18
288,0,12,706,11
899,0,15,156,60
3,0,19,331,24
340,1,18,341,17
603,0,3,113,39
701,0,13,626,37
368,0,18,650,24
928,0,17,403,44
230,0,10,3,48
168,1,13,401,52
612,1,11,251,37
854,0,10,45,53
570,0,1,16,34
