user_id,gender,occupation,zip_code,age,total_rated,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,CKE,KGAT,KGCN,KGIN,NCFKG,files_present_in
163,0,7,582,47,63,27,12,0,0,7,7,0,25,2,2,2,0,7,10,8,33,7,0,1,1,1,1,1,5
164,1,13,405,20,30,10,5,2,5,7,4,0,12,0,0,1,3,2,6,6,9,6,0,1,1,1,0,0,3
165,0,3,420,47,20,7,0,0,2,6,1,0,6,0,0,2,0,2,5,2,9,2,0,0,0,0,0,1,1
168,1,13,401,52,37,11,7,1,3,10,2,0,12,1,1,2,2,3,8,7,7,9,0,0,1,1,1,0,3
172,0,13,206,56,43,9,1,0,1,11,6,0,21,0,2,0,2,7,6,2,13,6,0,1,1,1,0,1,4
173,1,0,390,30,177,17,16,4,21,90,14,0,72,2,2,2,7,5,44,6,26,6,2,0,0,0,1,0,1
176,0,14,159,20,115,33,10,1,3,24,21,0,52,0,5,6,4,12,18,22,34,11,2,1,1,1,0,1,4
177,0,13,373,26,273,87,44,8,15,78,21,0,99,2,5,10,11,15,68,33,69,28,8,1,1,1,1,1,5
178,0,5,181,15,42,9,2,1,1,11,5,0,20,0,2,5,2,6,4,5,15,2,0,0,1,0,0,1,2
179,1,0,468,22,63,16,8,0,1,24,4,0,28,1,0,1,1,2,21,8,12,6,0,1,1,1,1,1,5
182,0,17,233,33,53,29,18,0,2,9,3,0,11,0,0,0,1,4,12,20,16,6,3,1,1,1,0,1,4
183,0,10,543,37,251,37,21,6,11,75,15,5,141,3,5,9,14,9,67,19,26,21,3,1,1,0,1,0,3
186,0,3,143,26,56,8,3,0,2,23,0,1,31,1,0,0,3,3,16,5,5,5,2,1,1,1,0,0,3
187,0,18,247,42,112,38,18,1,3,24,11,0,44,0,2,6,5,5,22,12,34,18,4,1,1,1,1,1,5
189,0,0,731,30,59,23,8,1,2,4,8,0,26,0,3,2,1,7,9,4,27,4,0,1,1,1,0,1,4
190,0,0,720,33,27,7,1,0,0,4,4,0,15,0,1,3,0,3,4,2,12,2,0,0,1,1,0,1,3
194,0,17,684,42,96,36,14,1,6,18,5,1,40,1,1,3,5,3,17,17,26,5,0,1,1,1,1,1,5
197,1,18,439,21,181,56,32,6,8,49,13,1,72,3,4,13,8,7,33,31,40,20,5,1,1,0,1,1,4
209,0,4,39,39,132,35,17,7,14,59,9,0,44,5,4,7,8,5,31,19,19,15,3,1,1,1,0,1,4
213,1,10,106,26,128,23,10,3,3,33,19,2,69,0,2,4,4,11,30,15,25,11,0,1,1,1,0,1,4
217,0,0,63,37,53,11,3,0,1,26,10,0,18,0,3,3,2,3,6,6,20,2,1,1,1,1,1,1,5
218,0,14,327,32,28,7,2,2,2,8,0,0,15,0,0,1,2,1,5,5,6,3,0,1,1,0,0,0,2
221,0,14,227,29,387,115,62,19,43,131,29,1,128,6,5,27,20,13,61,52,78,27,8,1,1,1,1,1,5
222,1,18,358,19,105,22,12,7,14,45,6,0,31,3,0,4,7,6,23,7,28,5,1,0,1,0,1,1,3
223,1,3,330,31,141,25,11,0,2,19,11,0,104,1,0,1,0,7,36,7,30,14,5,1,1,0,0,0,2
225,0,18,662,28,50,8,4,3,1,11,5,1,28,0,1,0,2,3,6,9,11,5,2,1,1,1,1,1,5
226,0,6,482,46,58,10,3,1,0,17,8,0,29,1,1,1,1,4,10,5,13,3,0,1,1,1,1,1,5
229,1,18,126,28,133,33,25,12,24,32,7,0,50,3,2,5,18,5,27,16,22,17,6,0,1,0,1,1,3
231,0,17,776,45,93,17,9,1,6,24,6,3,58,1,1,1,8,4,26,11,9,16,2,1,0,1,0,1,3
232,0,4,771,38,110,17,11,7,15,25,12,2,63,1,2,2,9,4,20,8,12,16,4,0,0,0,1,1,2
234,0,3,213,37,94,16,11,1,2,31,4,1,48,0,0,1,3,4,22,12,12,16,1,1,1,1,1,1,5
236,0,0,502,49,48,7,2,2,1,10,4,0,23,1,3,2,2,6,10,5,14,11,0,0,0,1,1,0,2
238,0,1,726,39,159,19,13,2,6,43,10,4,76,1,5,9,9,13,28,17,22,21,2,1,1,1,1,1,5
245,0,18,238,19,195,69,39,13,20,69,18,1,44,2,0,24,13,5,32,37,48,13,6,0,1,0,0,1,2
248,0,18,604,25,161,55,24,7,4,44,24,1,61,3,2,3,4,9,27,27,49,16,1,1,0,0,0,0,1
252,1,10,208,26,97,30,14,3,8,27,9,0,36,0,1,6,5,3,21,10,27,8,3,1,1,1,1,1,5
258,0,18,367,21,46,16,8,0,0,12,3,0,18,0,1,4,1,2,9,9,10,8,1,1,0,0,0,0,1
267,0,4,164,24,328,113,55,16,21,118,29,1,76,5,7,27,15,16,43,51,86,20,10,1,1,1,0,1,4
269,1,18,498,18,138,30,12,1,2,28,6,0,56,1,0,24,3,6,43,15,44,7,1,1,1,1,1,1,5
270,0,4,212,51,278,45,29,6,14,87,20,3,134,6,6,6,14,15,59,21,47,33,10,1,1,1,0,1,4
273,1,18,439,20,71,14,11,3,6,24,2,0,27,2,0,4,4,1,24,5,13,8,0,1,1,1,1,1,5
275,0,18,715,21,518,158,76,24,37,158,52,4,168,10,6,47,25,23,64,78,135,28,12,0,0,0,0,1,1
278,0,14,617,33,434,116,60,20,32,211,28,4,99,7,4,19,18,12,65,50,59,24,9,1,1,1,1,1,5
279,1,10,208,30,258,73,39,13,32,83,18,0,87,6,2,12,15,7,54,31,56,20,4,1,1,1,0,1,4
281,0,0,174,22,22,7,3,0,0,4,3,0,7,0,1,3,1,4,2,4,9,2,0,1,1,1,1,1,5
283,0,6,671,40,47,7,2,0,3,9,6,0,26,0,1,2,2,8,12,2,13,3,0,1,1,0,1,1,4
284,0,14,404,25,32,5,2,1,2,9,6,0,14,0,1,4,2,4,8,4,10,2,0,0,0,1,1,0,2
290,0,18,334,19,296,78,33,15,22,93,27,1,89,6,3,28,12,11,36,33,90,14,6,1,1,1,1,1,5
291,1,14,708,35,124,38,19,3,5,23,12,4,48,2,6,5,6,12,22,20,37,14,4,1,1,1,1,1,5
294,0,3,382,31,196,48,35,10,27,67,9,1,73,4,2,6,22,6,49,24,20,17,7,1,1,1,1,1,5
295,1,0,144,43,147,29,12,3,4,40,15,3,80,0,3,0,5,7,32,16,22,15,2,1,1,1,1,1,5
298,0,2,497,29,280,39,21,16,16,107,19,10,126,4,5,9,19,10,73,30,41,20,4,0,1,0,0,0,1
299,1,14,416,26,20,7,1,0,2,12,1,0,3,0,0,1,0,2,3,2,6,1,0,1,1,1,0,1,4
302,0,18,130,19,484,128,59,18,33,184,38,5,152,7,6,29,29,20,85,61,106,26,10,0,0,1,0,1,2
307,0,15,716,60,397,76,43,12,25,126,37,5,163,7,13,27,28,19,66,40,82,30,9,0,0,0,0,1,1
315,1,13,551,43,75,14,9,2,4,9,4,1,52,0,2,3,4,1,24,4,10,14,2,1,1,1,1,1,5
317,0,15,64,65,174,23,15,2,17,84,17,0,79,3,1,3,13,7,37,9,11,15,2,1,0,0,0,1,2
325,0,0,137,41,187,56,32,4,11,50,9,2,61,3,6,24,8,11,31,28,32,22,6,0,0,0,1,0,1
327,0,0,65,51,283,98,40,2,10,46,31,1,135,3,6,13,9,15,44,36,86,39,14,1,1,1,1,1,5
329,1,3,290,35,147,30,24,15,26,53,7,1,53,2,1,6,19,4,35,14,22,16,7,1,1,1,1,1,5
331,0,18,315,20,183,77,37,4,5,45,17,0,49,3,4,10,2,17,22,32,77,13,7,1,1,1,1,1,5
335,0,16,318,23,130,17,9,1,5,100,8,0,24,1,0,3,4,2,29,6,12,2,3,1,1,1,1,1,5
337,1,10,454,39,75,4,4,4,2,32,3,0,30,0,4,2,2,8,22,4,12,9,1,1,1,1,1,1,5
341,1,13,753,25,201,12,5,6,5,83,18,4,102,2,5,4,7,7,47,10,28,5,0,0,0,1,0,1,2
344,1,10,694,28,232,39,19,4,8,70,15,1,125,0,1,5,9,10,68,11,47,16,4,1,1,1,1,1,5
345,0,13,544,34,193,81,32,1,11,46,23,1,65,5,5,10,6,8,28,26,61,21,7,1,1,1,0,1,4
350,0,3,376,61,44,12,2,2,3,4,5,0,21,0,0,4,3,5,9,2,19,4,0,1,1,1,1,1,5
352,0,17,237,25,25,9,3,0,0,2,3,0,16,0,0,1,0,4,4,6,10,4,0,0,1,1,1,0,3
357,0,3,95,40,43,3,3,1,3,7,2,0,32,1,0,2,1,3,7,4,2,3,0,0,0,0,0,1,1
359,0,13,754,51,102,24,12,2,5,22,9,1,58,2,2,0,1,8,22,12,15,21,1,0,1,1,0,1,3
364,0,9,172,29,58,4,3,2,4,23,3,1,29,0,0,2,4,2,11,6,7,3,0,1,1,1,1,1,5
372,1,13,421,24,233,57,35,18,30,83,11,2,90,3,2,4,21,5,53,23,29,20,6,1,1,1,0,1,4
377,0,18,35,35,375,89,53,15,37,117,22,2,170,5,2,18,27,11,79,38,66,27,7,1,0,1,1,1,4
379,0,4,422,32,162,34,20,4,11,41,6,1,78,1,4,11,8,9,28,26,28,26,4,1,1,1,0,1,4
382,0,0,538,42,71,3,1,0,2,14,4,0,46,0,6,2,2,9,16,3,13,8,2,1,1,1,1,1,5
383,0,14,344,52,22,9,2,1,2,3,3,0,9,0,1,1,2,5,5,4,10,3,0,1,1,1,1,1,5
387,0,13,294,31,52,14,5,2,3,8,6,0,20,0,1,11,1,6,5,5,22,3,0,1,1,0,0,0,2
388,1,20,599,44,271,32,19,13,24,120,18,2,102,6,9,11,28,14,62,19,37,21,3,1,1,0,1,1,4
390,0,18,611,23,121,26,13,1,3,23,14,1,66,0,1,4,5,9,21,11,26,17,7,0,1,1,0,1,3
392,0,18,598,19,448,124,73,22,56,191,24,2,135,11,3,13,22,15,76,52,84,22,10,1,1,1,1,0,4
393,0,0,734,25,149,73,42,3,13,51,10,0,30,4,1,15,6,1,21,44,38,10,3,1,1,0,0,1,3
395,0,4,699,57,54,25,10,1,2,6,3,0,17,1,1,2,0,6,6,5,32,4,1,1,1,0,0,1,3
396,0,18,230,17,102,26,10,3,10,24,16,0,47,1,4,5,7,12,15,15,28,11,2,0,1,1,1,0,3
400,1,7,606,46,153,27,18,7,13,51,10,1,64,1,3,1,10,14,43,9,26,21,4,0,1,0,0,1,2
404,1,7,93,22,737,122,73,30,77,222,41,16,309,12,12,60,24,21,110,54,99,39,21,0,1,0,0,0,1
405,0,3,680,52,342,53,36,15,17,103,25,8,151,4,7,28,27,13,60,36,47,36,7,1,1,1,1,0,4
406,0,4,41,29,226,62,37,13,18,91,15,0,69,3,6,24,16,11,39,34,38,20,7,1,1,0,0,0,2
408,0,0,765,48,203,32,19,4,4,54,9,3,101,0,5,5,9,16,38,17,36,25,4,1,1,1,0,1,4
410,0,3,343,34,58,27,17,2,4,19,4,0,20,0,2,1,4,3,13,13,10,6,2,1,0,0,0,0,1
412,0,3,567,55,50,14,6,0,0,9,7,0,29,0,1,1,1,7,14,10,12,9,0,0,1,1,1,1,4
413,0,14,305,24,25,5,0,0,0,3,4,0,11,0,1,3,0,3,3,5,13,1,0,1,1,1,0,1,4
416,1,13,361,27,365,107,55,19,28,127,29,2,106,6,5,36,20,14,64,61,79,26,8,1,1,1,0,1,4
428,0,18,242,27,414,99,57,14,32,132,29,3,167,9,6,28,24,18,72,41,73,32,11,0,1,1,0,1,3
429,0,17,764,38,65,17,8,2,1,11,12,0,32,0,2,6,0,3,11,13,15,10,0,1,1,1,1,1,5
431,0,5,380,22,62,17,11,1,2,24,6,0,22,1,0,2,0,2,12,11,15,4,0,0,0,0,1,0,1
432,0,1,104,27,41,11,6,1,2,6,7,0,18,0,2,1,1,4,7,4,15,7,1,1,1,1,1,0,4
434,0,4,457,24,379,113,66,19,30,128,29,2,104,8,3,43,16,14,48,66,90,29,6,0,0,1,1,1,3
436,1,13,172,27,263,37,23,15,29,82,15,1,117,4,6,16,25,8,65,22,45,18,5,1,0,1,0,1,3
442,0,16,281,35,24,9,2,0,0,4,5,1,7,0,0,2,0,4,4,7,9,4,0,1,0,0,1,1,3
444,0,20,672,21,135,38,13,2,2,32,25,2,53,0,2,7,2,10,13,15,47,8,2,1,0,0,1,0,2
446,0,0,420,30,139,43,21,2,4,42,16,1,48,1,5,9,4,5,30,24,42,18,2,1,1,0,1,1,4
447,0,5,94,23,38,1,2,0,1,9,5,4,22,0,1,2,1,6,3,3,6,3,0,0,1,1,1,0,3
448,0,10,412,23,75,9,2,2,1,18,9,2,41,1,0,1,1,2,14,3,17,4,0,1,1,1,0,1,4
449,1,3,112,35,540,92,64,15,50,186,34,2,237,7,13,19,31,26,119,41,88,41,13,1,1,1,1,1,5
451,0,0,235,35,206,46,28,12,22,64,10,1,88,2,3,6,13,10,43,21,33,26,6,1,1,0,0,1,3
453,0,13,747,57,236,49,32,9,17,55,18,1,110,2,7,2,17,18,60,22,50,25,8,1,0,1,1,1,4
454,0,0,600,48,189,57,29,3,10,39,15,0,99,2,2,10,5,9,44,29,45,19,2,1,1,1,1,1,5
455,0,19,268,24,217,48,20,8,10,60,21,2,95,2,3,13,13,12,40,22,41,16,4,1,1,1,0,1,4
457,0,19,794,47,183,29,11,9,9,39,18,4,98,1,4,5,9,11,28,15,37,18,4,0,1,0,0,0,1
458,0,18,241,22,118,42,20,6,13,39,7,0,35,3,0,2,6,8,24,20,39,13,0,0,1,0,0,1,2
459,1,13,479,44,68,9,4,1,3,13,11,2,44,0,1,2,1,6,15,5,12,5,0,1,1,1,0,0,3
463,0,20,701,60,53,17,5,0,1,14,12,0,15,0,2,2,2,8,9,10,24,8,1,1,1,0,0,0,2
465,0,18,643,22,101,58,19,1,2,16,17,0,34,1,3,7,1,12,19,15,38,11,2,0,1,1,0,1,3
466,0,4,648,29,44,11,8,2,1,12,10,1,20,0,1,1,0,3,5,10,9,3,0,0,0,0,1,0,1
468,0,3,572,60,43,5,5,0,0,10,4,0,19,0,4,0,3,6,11,2,7,8,1,0,1,1,1,1,4
474,0,14,541,30,20,3,1,0,2,9,5,0,11,0,1,0,0,3,7,2,4,2,0,0,1,0,0,1,2
477,0,13,93,29,113,21,6,3,5,48,9,2,41,1,1,5,3,4,22,9,24,5,1,0,0,0,0,1,1
478,0,3,436,30,202,75,45,9,15,53,9,2,66,2,2,10,8,8,40,38,51,29,6,1,1,0,1,1,4
479,0,15,766,57,60,12,5,2,1,12,7,0,28,0,4,5,5,5,12,10,14,5,3,1,1,0,1,1,4
481,1,18,313,18,26,11,2,0,1,10,2,0,9,0,0,2,1,2,7,4,9,3,0,1,1,1,1,1,5
483,0,18,196,27,139,68,42,6,15,43,8,0,40,6,2,4,7,2,30,33,29,15,6,1,1,1,1,1,5
487,0,19,191,48,154,44,25,3,10,35,9,0,71,0,2,6,9,9,33,20,35,24,4,1,0,1,1,0,3
489,1,1,793,29,57,12,11,4,6,16,7,2,25,0,1,1,4,3,8,10,9,4,0,1,0,1,0,1,3
493,1,0,371,38,47,13,7,1,1,10,4,0,24,0,0,1,2,4,7,7,12,8,0,0,0,1,1,0,2
496,0,18,377,20,279,107,52,18,29,107,21,1,55,6,3,22,13,9,45,52,61,14,10,1,1,1,1,1,5
504,1,13,177,27,112,44,25,10,22,26,7,0,45,3,0,3,9,3,26,19,26,16,6,1,0,0,0,1,2
505,0,14,43,46,242,77,42,8,26,78,20,1,70,6,9,7,11,19,50,32,60,16,9,0,0,0,0,1,1
507,0,11,163,27,87,25,16,2,5,33,1,1,28,1,0,9,9,1,12,21,12,15,2,1,1,1,1,1,5
508,0,0,90,23,33,13,5,0,1,7,5,0,9,1,1,3,3,5,7,6,12,8,0,1,1,1,0,0,3
516,0,18,448,24,37,15,9,2,3,12,2,0,8,2,1,0,1,3,13,6,10,2,0,1,1,1,1,1,5
520,0,18,27,19,150,68,37,7,9,47,15,1,37,3,1,6,4,7,23,34,46,15,4,0,0,1,1,0,2
531,0,18,675,20,274,81,45,13,24,82,25,1,95,3,1,12,14,11,40,32,62,17,10,0,0,0,0,1,1
533,0,18,50,20,80,21,12,3,5,29,5,0,23,1,1,3,1,5,8,8,29,5,0,1,1,1,1,1,5
534,1,3,588,45,218,25,18,2,9,62,13,3,127,2,7,2,8,9,46,16,31,24,3,1,1,1,0,1,4
541,0,18,474,21,135,21,11,12,15,71,12,1,50,3,1,3,14,2,19,15,14,12,3,1,1,1,1,1,5
544,0,19,78,27,162,81,50,12,19,47,8,0,34,3,1,15,13,3,25,36,33,20,8,1,1,0,0,1,3
545,0,6,211,36,59,22,9,0,2,6,5,0,18,1,0,21,0,3,6,17,21,6,0,0,1,1,0,0,2
548,0,17,348,42,25,12,8,1,3,6,3,0,8,2,0,1,0,1,6,6,7,4,0,1,1,1,0,1,4
552,0,3,492,58,100,12,11,2,7,26,8,0,48,1,5,2,5,10,20,7,17,16,5,1,1,1,1,0,4
553,0,17,492,32,114,31,22,7,12,35,6,0,48,4,1,1,9,6,31,17,32,11,0,1,1,1,1,1,5
559,0,18,88,32,101,26,15,2,4,31,7,2,39,3,5,5,2,4,17,21,22,11,1,1,1,1,0,1,4
564,0,18,442,40,35,3,0,0,0,11,0,0,27,0,0,0,0,1,10,2,1,4,0,1,1,1,1,1,5
565,0,18,128,20,149,40,21,3,9,45,12,2,66,3,2,4,9,6,31,17,27,20,4,0,1,1,1,0,3
566,0,5,88,24,155,26,14,1,3,33,18,4,72,1,11,4,4,15,26,24,36,21,4,0,1,0,0,0,1
567,0,3,14,39,81,8,5,0,2,21,10,1,41,1,5,2,5,9,17,4,12,8,2,1,1,1,1,1,5
569,0,3,128,26,22,6,2,0,1,3,2,0,11,0,1,1,1,3,4,3,7,6,0,1,1,1,1,1,5
576,1,18,562,36,188,53,35,8,25,64,12,1,64,4,3,13,7,6,38,22,42,16,3,1,1,0,1,1,4
578,0,3,361,32,74,15,9,3,1,43,4,0,23,0,1,3,4,4,22,10,11,8,1,0,0,0,1,1,2
586,0,13,125,26,98,25,9,1,9,26,8,0,37,2,2,9,3,15,16,11,33,7,0,1,1,1,1,1,5
590,1,10,661,57,84,9,5,0,2,48,6,2,37,1,0,0,1,3,25,3,7,6,1,1,1,1,1,0,4
591,0,18,752,18,360,75,36,12,20,100,36,8,162,6,7,17,11,24,58,33,83,22,4,1,1,1,1,1,5
597,1,11,323,40,25,10,0,1,4,5,1,0,11,1,1,2,1,3,4,4,9,3,0,1,1,1,0,1,4
600,1,1,775,19,148,37,29,6,23,41,9,1,59,5,1,14,13,6,19,27,24,12,1,1,1,1,0,1,4
604,0,4,285,33,90,23,12,2,2,17,8,0,49,0,1,1,2,7,20,6,28,15,0,0,1,0,0,0,1
605,0,14,496,28,236,69,36,15,25,70,24,2,83,3,1,15,19,7,40,34,51,23,4,1,1,1,1,1,5
607,0,13,88,22,163,19,6,2,7,39,11,0,103,1,4,5,5,8,43,5,31,15,2,0,0,0,1,0,1
614,0,3,232,38,103,10,4,0,2,29,7,4,66,2,1,2,4,4,26,5,11,12,2,0,0,0,1,0,1
618,0,18,337,17,89,72,23,0,0,7,19,0,23,0,1,6,0,8,13,17,45,12,1,1,0,0,0,0,1
622,1,3,466,50,45,14,6,0,0,19,4,0,12,0,2,4,3,4,17,10,8,6,1,0,0,1,1,1,3
628,1,13,339,46,121,31,12,0,3,25,18,0,66,1,0,4,2,8,24,11,30,13,1,1,1,0,1,1,4
631,0,18,448,18,118,41,22,7,12,32,9,0,47,1,0,6,13,3,28,16,29,13,6,0,1,1,1,0,3
633,0,4,788,39,135,23,9,5,7,42,13,2,63,1,2,2,3,6,21,10,33,9,2,1,0,1,1,1,4
634,0,13,218,22,34,8,4,1,1,9,3,0,12,0,1,2,0,6,11,1,15,1,0,1,1,1,1,1,5
638,1,10,114,42,148,10,8,0,2,45,4,2,94,1,2,0,4,7,56,4,15,12,4,1,0,1,1,1,4
642,0,17,423,39,206,60,26,14,13,74,23,2,61,3,4,15,14,8,36,22,51,16,4,1,1,1,0,1,4
647,0,4,652,43,297,98,56,10,25,114,14,0,67,5,2,35,11,11,42,50,58,26,6,1,0,1,1,1,4
649,0,4,602,42,311,89,58,12,28,87,19,2,102,5,9,25,25,12,47,53,59,33,9,0,0,1,0,1,2
653,1,18,574,27,147,40,20,12,11,51,10,0,53,2,1,1,7,5,37,16,40,7,1,1,1,1,1,1,5
660,0,14,762,28,121,32,18,9,11,30,1,1,49,1,2,8,7,3,26,22,27,14,1,1,1,1,1,1,5
663,0,4,691,30,166,35,20,6,6,50,16,0,79,0,10,2,8,16,32,19,37,15,3,1,1,1,1,1,5
667,1,20,91,29,46,15,14,3,3,13,6,0,16,0,1,3,4,6,7,8,14,4,1,0,0,1,0,0,1
670,0,14,657,21,124,77,31,0,0,15,17,0,31,1,3,11,1,6,21,22,51,10,5,1,1,1,0,1,4
671,1,0,635,54,29,5,2,0,1,16,1,0,10,0,0,0,0,1,11,4,2,3,0,0,1,1,0,0,2
673,1,18,429,13,41,18,11,1,5,14,1,0,12,0,0,1,1,1,8,6,14,4,0,1,0,0,0,1,2
674,0,13,240,34,34,2,1,0,0,7,1,0,28,0,0,0,0,2,4,2,3,4,0,0,1,1,0,0,2
676,0,13,777,20,49,11,8,4,6,15,4,0,18,0,0,4,2,3,8,6,12,4,0,1,1,1,1,0,4
678,1,18,407,20,62,14,10,5,10,24,3,0,22,1,1,2,6,4,17,9,9,10,2,1,1,1,1,1,5
680,1,11,739,44,22,2,2,1,5,4,0,0,11,0,0,2,2,2,4,2,5,3,0,1,1,1,1,1,5
