user_id,gender,occupation,zip_code,age,total_rated,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,exists_in_merged_user_data,files_present_in
71,1,0,527,48,137,46,24,1,2,20,16,2,67,1,6,2,1,12,20,21,40,18,5,True,2.0
72,0,18,317,24,66,10,4,3,4,17,7,2,31,0,2,2,2,2,12,13,15,6,0,False,0.0
73,0,17,788,39,39,7,2,0,1,6,4,1,22,0,1,3,0,6,7,4,12,4,0,False,0.0
74,0,5,84,24,79,18,10,6,7,35,5,0,20,3,0,2,2,3,12,7,19,5,0,True,4.0
75,0,18,31,20,82,11,6,0,0,12,14,1,46,0,1,4,1,9,18,18,19,6,1,True,3.0
78,1,0,42,39,55,6,3,1,1,14,2,2,38,0,0,1,1,3,14,5,7,5,0,True,5.0
79,1,0,387,34,29,4,1,0,1,6,2,0,18,1,0,2,0,1,8,3,5,4,0,False,0.0
80,0,18,197,21,58,10,5,4,5,24,3,0,23,1,0,2,4,2,11,4,13,3,0,False,0.0
81,0,14,207,50,168,30,25,14,23,54,9,1,58,3,3,10,11,9,32,16,27,18,4,False,0.0
82,0,13,336,40,155,46,29,6,29,74,5,0,42,6,0,4,6,6,33,13,32,12,2,False,0.0
83,0,6,433,32,68,17,7,3,6,23,6,0,26,1,1,0,3,3,15,5,22,8,1,False,0.0
84,0,3,169,51,288,46,32,10,23,87,11,2,152,2,5,4,24,14,52,26,29,33,8,False,0.0
86,0,0,627,47,211,75,33,0,8,113,19,2,51,4,2,4,8,2,40,30,31,19,10,False,0.0
88,1,0,514,43,76,11,8,2,2,37,3,1,39,0,0,0,1,1,37,7,3,4,0,True,5.0
89,0,3,564,60,300,31,15,1,9,78,20,6,173,2,8,8,13,19,69,11,49,29,5,False,0.0
90,0,11,13,55,98,33,18,3,6,11,7,0,46,1,2,6,6,9,15,16,24,19,3,True,5.0
91,0,5,591,32,388,103,55,15,24,130,33,4,133,6,4,28,18,15,69,56,101,27,5,True,3.0
93,0,18,524,26,400,102,52,20,37,128,33,4,155,6,9,29,24,16,67,47,74,34,14,False,0.0
94,0,0,100,31,278,78,55,18,47,81,8,2,97,7,2,17,22,9,57,36,44,29,9,False,0.0
95,1,1,539,25,56,15,5,1,4,15,7,2,17,1,4,5,1,3,11,11,15,7,1,False,0.0
96,0,1,753,43,63,16,14,5,4,20,3,2,22,1,2,3,3,4,8,18,13,6,3,True,3.0
98,0,18,499,20,136,39,17,3,2,45,16,0,53,1,0,8,2,8,30,9,44,10,2,False,0.0
99,0,6,638,36,59,13,3,0,1,12,4,0,31,1,2,3,1,4,9,5,19,5,0,True,5.0
101,0,14,261,38,216,101,49,14,17,70,23,0,39,5,3,28,12,10,32,45,57,17,4,False,0.0
103,0,18,418,27,111,25,10,0,0,32,18,1,57,1,3,3,1,10,20,13,28,10,1,False,0.0
105,0,15,424,61,64,12,8,1,4,20,4,1,40,0,0,0,0,1,18,1,9,6,2,False,0.0
107,0,3,500,44,33,11,7,1,2,9,2,0,14,0,0,0,2,2,11,7,6,6,0,True,3.0
108,0,13,443,29,234,87,47,7,15,72,22,0,72,6,2,16,10,7,36,41,64,17,2,True,4.0
109,0,18,560,19,133,50,13,0,4,48,14,0,43,1,1,6,1,4,26,11,40,8,4,False,0.0
110,0,4,641,57,24,3,1,0,1,5,2,0,13,0,1,1,0,4,6,1,6,2,0,False,0.0
111,0,16,475,30,46,10,1,0,0,8,8,0,27,0,1,1,1,7,8,1,19,5,0,False,0.0
112,0,6,713,47,51,11,3,0,0,9,6,0,28,0,1,2,2,6,9,6,17,4,0,True,3.0
113,0,14,536,27,48,9,5,0,0,11,6,0,22,0,2,2,2,6,5,12,13,8,1,True,3.0
114,0,4,146,31,92,25,11,3,3,12,11,4,41,1,6,4,2,4,12,12,27,9,3,True,2.0
115,0,7,744,40,143,33,15,2,5,20,14,1,72,0,3,5,3,16,28,20,44,11,3,False,0.0
116,0,18,140,20,86,32,19,4,6,25,6,0,24,2,0,6,5,2,13,23,30,7,0,False,0.0
117,0,0,636,21,71,13,10,0,1,10,9,2,28,1,1,20,2,5,5,12,21,9,0,True,5.0
118,0,14,513,32,181,60,32,1,4,43,15,1,82,2,3,3,5,5,31,25,50,15,1,True,5.0
119,1,13,53,47,26,13,9,1,1,3,1,0,14,0,0,0,0,1,4,5,7,6,0,False,0.0
120,0,10,774,54,74,19,9,1,1,13,7,1,43,2,0,0,0,5,17,10,17,10,0,True,4.0
121,1,20,204,32,61,5,3,0,1,10,5,0,47,1,1,0,1,3,10,5,5,5,4,True,1.0
124,0,9,203,30,182,33,17,2,9,118,8,1,41,3,1,3,10,7,37,20,24,21,4,False,0.0
125,1,9,173,28,45,13,1,0,2,7,4,1,23,0,1,4,2,9,9,3,18,4,0,False,0.0
127,1,11,172,24,184,32,23,9,19,58,4,2,85,1,1,0,18,8,59,14,25,13,2,False,0.0
128,1,11,71,36,30,6,2,0,1,4,3,0,18,0,1,2,0,3,9,2,11,3,0,False,0.0
129,0,12,463,20,353,120,57,19,35,92,30,1,102,5,3,35,17,12,47,55,102,17,3,True,5.0
134,0,18,306,23,55,22,10,0,0,4,11,0,17,0,2,8,0,4,4,11,28,2,2,False,0.0
135,0,13,748,51,35,6,2,0,0,6,3,2,24,0,2,0,0,2,8,5,4,5,0,False,0.0
140,0,14,295,49,107,31,14,1,6,37,8,1,36,1,1,1,0,5,20,13,34,8,0,True,5.0
141,0,13,363,13,33,9,4,3,3,13,2,0,8,0,1,2,3,4,4,6,12,2,0,False,0.0
143,0,14,189,53,206,48,18,2,7,52,21,5,116,3,4,5,5,14,41,23,44,22,3,True,2.0
144,0,5,792,31,316,81,44,4,13,93,29,0,102,7,7,33,4,19,60,49,99,19,5,True,5.0
145,0,1,602,45,29,5,3,0,1,8,5,2,13,1,1,1,1,5,5,3,9,3,0,True,5.0
147,0,4,735,33,65,12,15,14,15,20,3,0,25,0,1,2,11,2,9,13,5,10,1,False,0.0
150,1,0,361,38,307,45,28,10,15,110,12,3,137,3,11,11,22,20,76,30,46,25,8,False,0.0
153,0,18,400,25,51,8,5,0,0,10,6,0,25,0,5,3,2,8,8,10,8,8,0,False,0.0
156,0,4,523,57,51,18,5,1,1,18,5,0,21,0,0,0,1,1,13,5,12,4,0,False,0.0
157,0,3,231,50,173,81,37,2,2,55,27,0,48,2,5,6,2,7,33,35,39,22,6,False,0.0
158,1,18,432,23,107,30,11,2,7,43,9,0,30,3,1,1,7,6,28,11,27,6,0,True,4.0
159,0,14,510,27,120,24,13,6,5,33,17,2,51,1,4,8,3,8,16,11,26,7,2,True,5.0
160,0,9,414,50,58,13,7,1,4,18,6,1,31,0,1,0,3,3,17,5,7,8,2,True,2.0
163,0,7,582,47,63,27,12,0,0,7,7,0,25,2,2,2,0,7,10,8,33,7,0,True,5.0
164,1,13,405,20,30,10,5,2,5,7,4,0,12,0,0,1,3,2,6,6,9,6,0,True,3.0
165,0,3,420,47,20,7,0,0,2,6,1,0,6,0,0,2,0,2,5,2,9,2,0,True,1.0
166,0,13,782,37,69,12,8,4,7,25,1,2,26,0,1,4,1,4,13,6,10,7,3,False,0.0
167,0,13,583,48,69,22,12,3,6,25,2,0,23,2,0,2,3,2,14,10,22,4,0,False,0.0
168,1,13,401,52,37,11,7,1,3,10,2,0,12,1,1,2,2,3,8,7,7,9,0,True,3.0
172,0,13,206,56,43,9,1,0,1,11,6,0,21,0,2,0,2,7,6,2,13,6,0,True,4.0
173,1,0,390,30,177,17,16,4,21,90,14,0,72,2,2,2,7,5,44,6,26,6,2,True,1.0
175,0,17,70,28,63,14,8,1,1,19,5,0,36,0,0,2,2,4,13,11,11,3,0,False,0.0
176,0,14,159,20,115,33,10,1,3,24,21,0,52,0,5,6,4,12,18,22,34,11,2,True,4.0
177,0,13,373,26,273,87,44,8,15,78,21,0,99,2,5,10,11,15,68,33,69,28,8,True,5.0
178,0,5,181,15,42,9,2,1,1,11,5,0,20,0,2,5,2,6,4,5,15,2,0,True,2.0
179,1,0,468,22,63,16,8,0,1,24,4,0,28,1,0,1,1,2,21,8,12,6,0,True,5.0
180,0,6,197,26,435,58,31,9,27,132,29,13,188,6,3,15,8,17,61,21,76,14,2,False,0.0
181,0,14,290,36,28,6,5,2,3,9,2,1,12,1,0,1,1,2,7,7,2,6,1,False,0.0
182,0,17,233,33,53,29,18,0,2,9,3,0,11,0,0,0,1,4,12,20,16,6,3,True,4.0
183,0,10,543,37,251,37,21,6,11,75,15,5,141,3,5,9,14,9,67,19,26,21,3,True,3.0
184,1,10,749,53,48,5,2,1,1,10,3,1,32,1,1,1,0,2,11,5,7,9,0,False,0.0
185,1,6,0,39,92,30,13,5,10,13,13,0,25,2,3,2,4,10,7,7,51,2,3,False,0.0
186,0,3,143,26,56,8,3,0,2,23,0,1,31,1,0,0,3,3,16,5,5,5,2,True,3.0
187,0,18,247,42,112,38,18,1,3,24,11,0,44,0,2,6,5,5,22,12,34,18,4,True,5.0
188,0,1,712,32,187,29,19,8,16,47,10,3,96,2,7,3,16,15,51,15,31,21,4,False,0.0
189,0,0,731,30,59,23,8,1,2,4,8,0,26,0,3,2,1,7,9,4,27,4,0,True,4.0
190,0,0,720,33,27,7,1,0,0,4,4,0,15,0,1,3,0,3,4,2,12,2,0,True,3.0
192,0,18,375,29,121,37,16,2,6,42,13,0,38,2,1,8,4,8,29,9,29,6,4,False,0.0
193,0,0,28,38,305,68,47,17,31,101,20,0,126,4,6,9,21,10,55,30,40,35,13,False,0.0
194,0,17,684,42,96,36,14,1,6,18,5,1,40,1,1,3,5,3,17,17,26,5,0,True,5.0
196,0,19,537,55,118,76,32,1,2,17,18,0,37,0,3,6,3,6,22,24,36,17,5,False,0.0
197,1,18,439,21,181,56,32,6,8,49,13,1,72,3,4,13,8,7,33,31,40,20,5,True,4.0
198,0,20,150,30,40,5,2,4,7,15,1,1,17,1,0,0,2,3,9,2,7,2,0,False,0.0
199,0,14,682,40,216,79,57,16,42,52,10,1,61,10,2,10,17,4,36,43,50,17,4,False,0.0
200,0,20,778,27,386,87,39,11,12,70,41,6,196,2,9,41,14,17,59,40,92,31,7,False,0.0
203,1,10,101,52,42,4,2,1,3,12,5,1,24,0,1,1,0,4,6,2,10,4,0,False,0.0
206,0,11,659,39,230,57,18,2,5,84,23,3,100,3,2,3,5,8,51,17,51,19,6,False,0.0
208,1,3,621,33,33,6,5,2,2,10,3,2,13,0,0,1,0,1,9,4,5,4,0,False,0.0
209,0,4,39,39,132,35,17,7,14,59,9,0,44,5,4,7,8,5,31,19,19,15,3,True,4.0
213,1,10,106,26,128,23,10,3,3,33,19,2,69,0,2,4,4,11,30,15,25,11,0,True,4.0
216,0,13,110,22,76,69,29,0,1,5,8,0,10,1,0,4,0,1,9,21,32,6,2,False,0.0
217,0,0,63,37,53,11,3,0,1,26,10,0,18,0,3,3,2,3,6,6,20,2,1,True,5.0
218,0,14,327,32,28,7,2,2,2,8,0,0,15,0,0,1,2,1,5,5,6,3,0,True,2.0
221,0,14,227,29,387,115,62,19,43,131,29,1,128,6,5,27,20,13,61,52,78,27,8,True,5.0
222,1,18,358,19,105,22,12,7,14,45,6,0,31,3,0,4,7,6,23,7,28,5,1,True,3.0
223,1,3,330,31,141,25,11,0,2,19,11,0,104,1,0,1,0,7,36,7,30,14,5,True,2.0
224,1,0,452,51,27,5,2,1,1,6,2,0,15,0,0,0,4,2,6,1,6,4,1,False,0.0
225,0,18,662,28,50,8,4,3,1,11,5,1,28,0,1,0,2,3,6,9,11,5,2,True,5.0
226,0,6,482,46,58,10,3,1,0,17,8,0,29,1,1,1,1,4,10,5,13,3,0,True,5.0
228,1,10,208,29,30,9,1,0,0,4,2,0,19,0,1,1,0,4,8,3,13,2,0,False,0.0
229,1,18,126,28,133,33,25,12,24,32,7,0,50,3,2,5,18,5,27,16,22,17,6,True,3.0
230,0,10,3,48,21,10,6,1,2,5,1,0,8,0,0,0,1,1,7,4,4,4,0,False,0.0
231,0,17,776,45,93,17,9,1,6,24,6,3,58,1,1,1,8,4,26,11,9,16,2,True,3.0
232,0,4,771,38,110,17,11,7,15,25,12,2,63,1,2,2,9,4,20,8,12,16,4,True,2.0
233,0,15,707,60,480,65,50,16,49,143,33,7,213,8,15,18,36,26,94,31,79,38,11,False,0.0
234,0,3,213,37,94,16,11,1,2,31,4,1,48,0,0,1,3,4,22,12,12,16,1,True,5.0
235,1,20,399,44,124,28,16,4,10,28,8,0,62,2,1,5,9,7,30,14,28,15,6,False,0.0
236,0,0,502,49,48,7,2,2,1,10,4,0,23,1,3,2,2,6,10,5,14,11,0,True,2.0
238,0,1,726,39,159,19,13,2,6,43,10,4,76,1,5,9,9,13,28,17,22,21,2,True,5.0
243,0,19,591,28,238,47,20,9,8,101,8,1,100,2,2,8,10,4,50,22,31,22,4,False,0.0
245,0,18,238,19,195,69,39,13,20,69,18,1,44,2,0,24,13,5,32,37,48,13,6,True,2.0
248,0,18,604,25,161,55,24,7,4,44,24,1,61,3,2,3,4,9,27,27,49,16,1,True,1.0
249,0,6,717,29,122,25,12,11,15,34,13,1,42,1,1,7,10,8,20,20,38,7,0,False,0.0
252,1,10,208,26,97,30,14,3,8,27,9,0,36,0,1,6,5,3,21,10,27,8,3,True,5.0
254,0,5,69,23,83,37,13,0,1,7,5,0,13,1,0,28,0,5,5,13,42,4,1,False,0.0
255,1,12,308,35,207,73,36,4,9,57,18,0,68,1,3,10,6,6,55,25,71,11,4,False,0.0
256,0,18,549,17,57,6,4,0,1,9,5,1,40,0,0,2,1,4,21,5,6,5,0,False,0.0
258,0,18,367,21,46,16,8,0,0,12,3,0,18,0,1,4,1,2,9,9,10,8,1,True,1.0
262,0,14,432,41,123,35,19,5,15,25,4,0,55,3,1,3,10,8,21,17,29,23,6,False,0.0
263,1,20,634,36,120,12,7,1,0,63,10,3,38,1,3,21,4,4,22,9,16,4,1,False,0.0
264,0,6,610,26,46,14,8,2,3,13,5,0,21,1,0,1,0,2,9,6,15,4,0,False,0.0
266,0,4,601,23,185,74,35,7,5,57,20,0,50,4,4,6,6,8,26,39,50,21,5,False,0.0
267,0,4,164,24,328,113,55,16,21,118,29,1,76,5,7,27,15,16,43,51,86,20,10,True,4.0
268,1,10,324,31,323,51,27,2,14,110,31,4,148,4,10,18,14,19,59,36,53,28,7,False,0.0
269,1,18,498,18,138,30,12,1,2,28,6,0,56,1,0,24,3,6,43,15,44,7,1,True,5.0
270,0,4,212,51,278,45,29,6,14,87,20,3,134,6,6,6,14,15,59,21,47,33,10,True,4.0
271,0,17,402,33,51,15,6,0,2,12,6,2,22,1,1,6,0,2,7,8,10,12,0,False,0.0
273,1,18,439,20,71,14,11,3,6,24,2,0,27,2,0,4,4,1,24,5,13,8,0,True,5.0
274,0,4,660,38,95,42,32,22,25,20,0,0,18,2,1,4,18,3,9,26,19,10,2,False,0.0
275,0,18,715,21,518,158,76,24,37,158,52,4,168,10,6,47,25,23,64,78,135,28,12,True,1.0
276,1,0,434,35,54,11,8,2,3,12,9,0,29,1,1,0,1,4,14,7,11,5,0,False,0.0
277,1,10,255,37,23,6,1,1,1,5,1,0,13,0,2,1,1,3,5,1,8,4,0,False,0.0
278,0,14,617,33,434,116,60,20,32,211,28,4,99,7,4,19,18,12,65,50,59,24,9,True,5.0
279,1,10,208,30,258,73,39,13,32,83,18,0,87,6,2,12,15,7,54,31,56,20,4,True,4.0
280,1,18,52,15,26,5,4,2,5,6,1,0,7,1,0,2,3,4,3,2,9,3,0,False,0.0
281,0,0,174,22,22,7,3,0,0,4,3,0,7,0,1,3,1,4,2,4,9,2,0,True,5.0
283,0,6,671,40,47,7,2,0,3,9,6,0,26,0,1,2,2,8,12,2,13,3,0,True,4.0
284,0,14,404,25,32,5,2,1,2,9,6,0,14,0,1,4,2,4,8,4,10,2,0,True,2.0
285,0,18,134,27,288,53,39,17,27,131,21,2,98,5,2,15,22,7,61,34,41,11,3,False,0.0
289,0,4,683,40,150,53,43,14,28,46,3,0,43,6,2,4,17,5,24,33,27,22,2,False,0.0
290,0,18,334,19,296,78,33,15,22,93,27,1,89,6,3,28,12,11,36,33,90,14,6,True,5.0
291,1,14,708,35,124,38,19,3,5,23,12,4,48,2,6,5,6,12,22,20,37,14,4,True,5.0
292,0,20,483,24,388,94,40,12,20,111,36,1,165,4,8,17,21,18,73,46,96,29,10,False,0.0
293,0,19,663,34,150,58,26,3,4,41,21,0,40,2,2,10,3,15,24,22,55,13,1,False,0.0
294,0,3,382,31,196,48,35,10,27,67,9,1,73,4,2,6,22,6,49,24,20,17,7,True,5.0
295,1,0,144,43,147,29,12,3,4,40,15,3,80,0,3,0,5,7,32,16,22,15,2,True,5.0
296,1,3,760,29,192,50,22,9,14,62,19,1,67,1,2,12,10,9,38,23,50,21,3,False,0.0
297,0,6,6,44,127,26,20,12,23,39,5,1,51,3,1,4,15,5,28,12,20,21,3,False,0.0
298,0,2,497,29,280,39,21,16,16,107,19,10,126,4,5,9,19,10,73,30,41,20,4,True,1.0
299,1,14,416,26,20,7,1,0,2,12,1,0,3,0,0,1,0,2,3,2,6,1,0,True,4.0
300,0,18,446,24,275,97,51,13,23,98,23,0,82,4,3,13,19,5,43,46,62,29,7,False,0.0
302,0,18,130,19,484,128,59,18,33,184,38,5,152,7,6,29,29,20,85,61,106,26,10,True,2.0
304,0,14,690,23,222,44,26,5,6,67,18,1,114,1,5,4,13,11,48,25,39,24,2,False,0.0
306,0,18,448,25,112,38,30,9,9,37,6,3,34,3,1,4,12,2,21,32,14,14,0,False,0.0
307,0,15,716,60,397,76,43,12,25,126,37,5,163,7,13,27,28,19,66,40,82,30,9,True,1.0
310,0,19,528,32,294,71,46,11,30,77,20,2,126,5,4,12,18,11,65,31,52,29,13,False,0.0
311,0,13,19,48,223,32,24,11,12,58,8,4,96,0,11,8,21,17,47,21,37,32,6,False,0.0
312,0,11,459,41,262,68,42,23,39,73,19,0,85,4,10,16,21,16,43,33,59,31,9,False,0.0
313,1,18,77,20,245,34,21,11,35,111,14,0,91,4,0,6,12,5,60,9,42,5,3,False,0.0
314,0,3,155,31,87,17,6,0,1,28,15,4,35,0,6,5,2,7,10,8,25,11,1,False,0.0
315,1,13,551,43,75,14,9,2,4,9,4,1,52,0,2,3,4,1,24,4,10,14,2,True,5.0
316,0,0,121,22,22,11,3,0,0,2,1,0,6,0,1,2,0,4,5,4,14,4,0,False,0.0
317,0,15,64,65,174,23,15,2,17,84,17,0,79,3,1,3,13,7,37,9,11,15,2,True,2.0
319,0,18,221,19,154,75,32,10,10,43,14,0,26,3,1,14,6,4,30,30,51,9,7,False,0.0
320,1,3,438,49,125,15,12,1,4,27,7,3,74,0,5,0,7,13,33,6,13,18,2,False,0.0
321,0,18,383,20,51,9,2,1,1,6,10,2,24,0,6,2,0,7,12,4,18,7,0,False,0.0
322,0,18,161,21,89,23,9,1,3,21,12,1,46,0,0,1,4,6,17,11,26,11,1,False,0.0
323,1,18,30,21,66,14,5,2,4,15,8,0,31,1,0,3,2,5,18,7,19,5,0,False,0.0
324,0,19,24,48,142,29,21,9,11,42,9,3,62,1,4,7,12,8,20,20,19,22,3,False,0.0
325,0,0,137,41,187,56,32,4,11,50,9,2,61,3,6,24,8,11,31,28,32,22,6,True,1.0
326,0,18,102,22,284,65,26,7,10,100,25,7,113,4,3,15,10,16,57,32,58,23,4,False,0.0
327,0,0,65,51,283,98,40,2,10,46,31,1,135,3,6,13,9,15,44,36,86,39,14,True,5.0
328,0,3,9,48,65,20,7,1,3,14,10,0,30,2,2,2,2,5,15,7,23,10,0,False,0.0
329,1,3,290,35,147,30,24,15,26,53,7,1,53,2,1,6,19,4,35,14,22,16,7,True,5.0
330,0,5,651,33,70,3,5,1,4,16,7,4,40,0,2,3,3,5,13,2,9,9,0,False,0.0
331,0,18,315,20,183,77,37,4,5,45,17,0,49,3,4,10,2,17,22,32,77,13,7,True,5.0
333,0,10,252,32,333,59,34,6,15,95,27,2,174,4,8,14,16,22,75,36,60,27,5,False,0.0
335,0,16,318,23,130,17,9,1,5,100,8,0,24,1,0,3,4,2,29,6,12,2,3,True,5.0
337,1,10,454,39,75,4,4,4,2,32,3,0,30,0,4,2,2,8,22,4,12,9,1,True,5.0
338,0,9,304,35,254,60,27,6,11,74,30,2,110,2,11,15,12,12,39,36,50,29,7,False,0.0
341,1,13,753,25,201,12,5,6,5,83,18,4,102,2,5,4,7,7,47,10,28,5,0,True,2.0
342,0,4,260,43,237,49,27,5,7,62,20,1,119,3,6,8,6,11,42,29,48,25,5,False,0.0
343,1,10,692,30,190,40,23,7,10,61,12,2,83,1,2,5,7,8,50,18,39,14,4,False,0.0
344,1,10,694,28,232,39,19,4,8,70,15,1,125,0,1,5,9,10,68,11,47,16,4,True,5.0
345,0,13,544,34,193,81,32,1,11,46,23,1,65,5,5,10,6,8,28,26,61,21,7,True,4.0
346,0,18,636,18,199,75,34,10,15,54,19,0,73,4,0,7,9,8,31,26,55,19,6,False,0.0
349,0,18,745,32,50,16,10,1,2,9,2,0,19,0,4,3,2,4,9,14,13,12,2,False,0.0
350,0,3,376,61,44,12,2,2,3,4,5,0,21,0,0,4,3,5,9,2,19,4,0,True,5.0
352,0,17,237,25,25,9,3,0,0,2,3,0,16,0,0,1,0,4,4,6,10,4,0,True,3.0
353,1,10,364,29,233,18,14,4,10,77,3,4,136,3,3,2,15,10,67,15,18,22,4,False,0.0
355,1,8,674,32,24,6,1,0,1,5,2,1,12,1,0,2,0,5,4,1,10,2,0,False,0.0
356,0,6,763,26,76,26,12,3,6,27,4,0,20,3,0,2,1,4,14,10,18,8,0,False,0.0
357,0,3,95,40,43,3,3,1,3,7,2,0,32,1,0,2,1,3,7,4,2,3,0,True,1.0
359,0,13,754,51,102,24,12,2,5,22,9,1,58,2,2,0,1,8,22,12,15,21,1,True,3.0
360,0,18,332,22,121,19,8,0,0,42,11,1,53,0,6,4,5,8,46,9,29,9,3,False,0.0
362,0,18,624,20,311,99,44,15,14,92,31,1,108,3,7,33,11,17,40,56,85,20,6,False,0.0
364,0,9,172,29,58,4,3,2,4,23,3,1,29,0,0,2,4,2,11,6,7,3,0,True,5.0
366,0,18,299,17,58,17,7,0,0,7,6,0,12,0,1,31,0,5,5,15,20,3,0,False,0.0
369,0,20,82,52,75,16,9,1,1,25,4,0,28,1,4,2,3,9,12,11,19,9,2,False,0.0
371,1,18,509,25,66,11,3,0,0,2,14,0,29,0,1,20,0,6,7,5,33,3,0,False,0.0
372,1,13,421,24,233,57,35,18,30,83,11,2,90,3,2,4,21,5,53,23,29,20,6,True,4.0
